My doctor's recommendation,Knowing why I should get vaccines,Knowing which vaccines I need,Cost of vaccines,Concern of getting sick if I get vaccinated,Trust in Govt. agency's recommendation,"Worry about other ingredients in vaccines (chemicals or foods, such as pork or eggs)",My family or cultural beliefs,The time it takes to get vaccinated,My access to reliable transportation,My religious beliefs,My dislike or fear of needles,Belief that getting the disease will give me better immunity,Belief that I am healthy and won't need vaccine,Preference for alternative medicine,"Social media, TV, newspaper","Peer pressure (Friends, Family, Relatives)",Lack of co-ordinated immunization programs for adults
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not At All Likely,Very Likely,Very Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not Very Likely
Very Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Neutral,Very Likely,Very Likely,Neutral,Somewhat Likely,Very Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Neutral,Neutral,Very Likely,Not At All Likely,Not At All Likely,Neutral
Very Likely,Very Likely,Very Likely,Somewhat Likely,Not Very Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely
Very Likely,Very Likely,Very Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Neutral,Neutral,Neutral,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,Neutral,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Neutral,Neutral,Not At All Likely,Not At All Likely,Not At All Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Neutral,Neutral,Very Likely,Not At All Likely,Not At All Likely,Neutral
Very Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Neutral,Somewhat Likely,Somewhat Likely,Neutral,Very Likely,Very Likely,Neutral,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Not Very Likely,Not At All Likely,Not Very Likely,Neutral,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely
Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Not Very Likely,Neutral
Very Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Neutral,Neutral,Very Likely,Not At All Likely,Not At All Likely,Somewhat Likely
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not Very Likely,Very Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Very Likely,Somewhat Likely,Not At All Likely,Very Likely
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Not Very Likely,Very Likely,Very Likely,Not Very Likely,Very Likely,Very Likely,Very Likely,Not Very Likely,Very Likely,Very Likely,Very Likely
Somewhat Likely,Neutral,Neutral,Very Likely,Very Likely,Neutral,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Neutral,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not Very Likely,Somewhat Likely
Somewhat Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Not At All Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Very Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Very Likely,Not At All Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not Very Likely,Very Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Not Very Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Somewhat Likely
Very Likely,Very Likely,Very Likely,Very Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not At All Likely,Very Likely
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Not Very Likely,Not Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Somewhat Likely,Not Very Likely,Not Very Likely,Very Likely,Somewhat Likely,Not Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Not Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Neutral,Neutral,Neutral,Not Very Likely,Not Very Likely,Neutral
Somewhat Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Very Likely,Neutral,Very Likely,Very Likely,Very Likely,Very Likely,Not Very Likely,Neutral,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Very Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Very Likely,Not At All Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not At All Likely,Very Likely,Very Likely,Very Likely,Not At All Likely,Not At All Likely,Very Likely,Very Likely,Not At All Likely,Not At All Likely,Very Likely,Not Very Likely,Not Very Likely,Somewhat Likely
Neutral,Neutral,Neutral,Not At All Likely,Not Very Likely,Not Very Likely,Not At All Likely,Not At All Likely,Very Likely,Neutral,Not At All Likely,Not Very Likely,Somewhat Likely,Neutral,Not Very Likely,Neutral,Somewhat Likely,Somewhat Likely
Somewhat Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Somewhat Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Neutral,Neutral,Not Very Likely,Somewhat Likely,Not Very Likely,Neutral
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely
Not At All Likely,Very Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Not At All Likely,Neutral
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely
Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral,Not Very Likely,Not Very Likely,Neutral,Not At All Likely,Not Very Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Not At All Likely,Neutral,Not Very Likely,Not At All Likely
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely
Very Likely,Very Likely,Very Likely,Neutral,Somewhat Likely,Neutral,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely
Very Likely,Neutral,Neutral,Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Not Very Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Neutral,Not Very Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not At All Likely,Neutral,Neutral,Very Likely,Not Very Likely,Not At All Likely,Neutral
Not At All Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely
Very Likely,Very Likely,Very Likely,Not At All Likely,Somewhat Likely,Very Likely,Neutral,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Not At All Likely,Very Likely,Somewhat Likely,Neutral
Very Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Neutral,Neutral,Not Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Not At All Likely,Neutral,Neutral,Very Likely,Not Very Likely,Not At All Likely,Neutral,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Not At All Likely,Not At All Likely,Neutral
Very Likely,Not Very Likely,Not Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Neutral,Neutral,Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not Very Likely,Neutral
Very Likely,Somewhat Likely,Very Likely,Not Very Likely,Very Likely,Very Likely,Neutral,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Very Likely,Somewhat Likely,Very Likely
Somewhat Likely,Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Neutral,Neutral,Very Likely,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Somewhat Likely,Very Likely
Very Likely,Very Likely,Very Likely,Not At All Likely,Very Likely,Very Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Very Likely,Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely
Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Very Likely,Very Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Very Likely,Not At All Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not Very Likely
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Somewhat Likely,Not Very Likely,Not Very Likely,Not Very Likely
Very Likely,Not Very Likely,Not Very Likely,Not At All Likely,Somewhat Likely,Somewhat Likely,Very Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Not Very Likely
Very Likely,Very Likely,Very Likely,Not At All Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Neutral,Not At All Likely,Not At All Likely,Somewhat Likely
Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Neutral,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely,Not At All Likely,Neutral,Neutral,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely
Somewhat Likely,Neutral,Neutral,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Somewhat Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not Very Likely,Not At All Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not Very Likely,Very Likely,Not At All Likely,Not Very Likely,Neutral
Very Likely,Very Likely,Very Likely,Somewhat Likely,Not At All Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Not Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not At All Likely,Neutral,Neutral,Not Very Likely,Not Very Likely,Not Very Likely,Not Very Likely
Very Likely,Somewhat Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not Very Likely,Not Very Likely
Somewhat Likely,Very Likely,Very Likely,Very Likely,Neutral,Neutral,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely
Very Likely,Somewhat Likely,Very Likely,Somewhat Likely,Somewhat Likely,Very Likely,Neutral,Not At All Likely,Neutral,Neutral,Not At All Likely,Neutral,Very Likely,Not At All Likely,Very Likely,Neutral,Very Likely,Neutral
Very Likely,Neutral,Neutral,Somewhat Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not Very Likely,Neutral,Neutral,Somewhat Likely,Neutral,Neutral,Neutral
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Somewhat Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not At All Likely,Not Very Likely,Not Very Likely,Neutral
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Not At All Likely,Very Likely,Not At All Likely,Not Very Likely,Not Very Likely,Not Very Likely,Somewhat Likely,Neutral,Very Likely
Somewhat Likely,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Not Very Likely,Not Very Likely,Not Very Likely,Neutral,Neutral,Not Very Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely
Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely,Very Likely
Neutral,Somewhat Likely,Somewhat Likely,Neutral,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
Somewhat Likely,Neutral,Somewhat Likely,Very Likely,Very Likely,Neutral,Very Likely,Somewhat Likely,Very Likely,Very Likely,Somewhat Likely,Somewhat Likely,Neutral,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely,Somewhat Likely
